title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Standing Next to You,Jung Kook,k-pop,2023,2024‑05‑29,106,81,71,-4,34,82,206,4,10,90
Like Crazy,Jimin,k-pop,2023,2024‑05‑29,120,73,63,-5,36,36,212,0,4,89
The Astronaut,JIN,k-pop,2022,2024‑05‑29,125,76,54,-5,14,22,282,0,3,83
Super Shy,NewJeans,k-pop,2023,2024‑05‑29,150,82,78,-6,15,52,155,18,7,83
Seven (feat. Latto),Jung Kook,k-pop,2023,2024‑05‑29,125,84,79,-4,8,90,184,30,4,82
OMG,NewJeans,k-pop,2023,2024‑05‑29,127,77,80,-4,11,74,212,36,4,81
3D (feat. Jack Harlow),Jung Kook,k-pop,2023,2024‑05‑29,108,82,85,-3,9,89,202,3,10,80
Hype Boy,NewJeans,k-pop,2022,2024‑05‑29,100,94,59,-3,29,78,179,27,23,80
Ditto,NewJeans,k-pop,2022,2024‑05‑29,134,64,81,-6,10,18,186,3,11,80
LALISA,LISA,k-pop,2021,2024‑05‑29,150,65,81,-6,11,85,201,3,9,79
MONEY,LISA,k-pop,2021,2024‑05‑29,140,55,83,-10,15,40,168,16,22,79
ONLY,LeeHi,k-pop,2021,2024‑05‑29,123,30,54,-7,9,15,241,89,3,77
Attention,NewJeans,k-pop,2022,2024‑05‑29,105,65,81,-4,8,70,180,24,4,77
FLOWER,JISOO,k-pop,2023,2024‑05‑29,124,39,84,-8,10,64,173,3,4,77
MANIAC,VIVIZ,k-pop,2023,2024‑05‑27,115,58,75,-5,9,82,196,19,7,77
Run BTS,BTS,k-pop,2022,2024‑05‑29,77,82,72,-4,4,70,205,2,17,76
As If It's Your Last,BLACKPINK,k-pop,2017,2024‑05‑29,125,85,79,-3,8,46,213,7,8,76
FAKE LOVE,BTS,k-pop,2018,2024‑05‑29,78,72,56,-5,31,35,242,0,4,76
Boy With Luv (feat. Halsey),BTS,k-pop,2019,2024‑05‑29,120,86,65,-5,19,80,230,9,8,76
My Universe,Coldplay,permanent wave,2021,2024‑05‑29,105,70,59,-6,20,44,228,1,4,76
Life Goes On,BTS,k-pop,2020,2024‑05‑29,81,72,57,-6,37,45,207,1,4,75
Butter,BTS,k-pop,2022,2024‑05‑29,110,46,76,-5,8,70,165,0,9,75
God’s Menu,Stray Kids,k-pop,2020,2024‑05‑29,157,77,69,-4,52,48,168,1,5,74
Spring Day,BTS,k-pop,2017,2024‑05‑29,107,85,54,-3,13,46,274,1,4,74
Permission to Dance,BTS,k-pop,2021,2024‑05‑29,125,74,70,-5,34,65,188,1,4,74
Pink Venom,BLACKPINK,k-pop,2022,2024‑05‑29,180,75,68,-6,19,75,187,1,17,74
To. X,Taeyeon,k-pop,2023,2024‑05‑27,97,59,84,-6,9,65,170,40,8,74
FANCY,TWICE,k-pop,2019,2024‑05‑29,132,87,70,-2,63,78,214,1,4,73
Euphoria,BTS,k-pop,2018,2024‑05‑29,105,80,64,-5,9,57,229,39,3,73
What is Love,TWICE,k-pop,2018,2024‑05‑29,170,91,57,-2,26,57,208,10,7,73
PLAYING WITH FIRE,BLACKPINK,k-pop,2016,2024‑05‑29,97,76,71,-4,18,68,197,4,8,73
BOOMBAYAH,BLACKPINK,k-pop,2016,2024‑05‑29,125,84,66,-3,50,40,241,0,6,73
Shut Down,BLACKPINK,k-pop,2022,2024‑05‑29,110,70,81,-5,18,62,176,0,4,73
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,pop,2022,2024‑05‑29,101,59,88,-5,9,72,154,62,3,73
